Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",-21.261000,93.179000,180.000000,bottom
"C1","100nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",22.111000,42.129000,180.000000,top
"C2","100nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",27.286000,41.179000,-90.000000,top
"C3","100nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",8.011000,28.179000,0.000000,top
"C4","100nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",97.911000,30.429000,90.000000,top
"C5","100nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",58.111000,37.529000,0.000000,top
"C6","100nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",38.811000,51.929000,0.000000,top
"C7","6.8nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",70.511000,31.179000,-90.000000,top
"C8","100nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",55.511000,38.079000,-90.000000,top
"C9","10uF","CP_Radial_D5.0mm_P2.50mm",50.111000,37.429000,-90.000000,top
"C10","100nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",70.511000,18.829000,90.000000,top
"C11","100nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",81.661000,37.629000,-90.000000,top
"C12","1nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",63.061000,34.979000,180.000000,top
"C13","6.8nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",48.611000,23.879000,90.000000,top
"C14","100nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",51.061000,23.879000,90.000000,top
"C15","100nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",54.161000,13.979000,180.000000,top
"C16","1nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",69.150000,13.950000,0.000000,top
"C17","1uF 250V","C_Rect_L16.5mm_W5.0mm_P15.00mm_MKT",78.661000,78.829000,-90.000000,top
"C18","100nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",48.061000,71.179000,90.000000,top
"C19","10uF","CP_Radial_D5.0mm_P2.50mm",46.361000,53.079000,0.000000,top
"C20","10uF","CP_Radial_D5.0mm_P2.50mm",60.300000,77.600000,90.000000,top
"C21","10uF","CP_Radial_D5.0mm_P2.50mm",61.061000,63.479000,-90.000000,top
"C22","10uF","CP_Radial_D5.0mm_P2.50mm",61.700000,54.600000,180.000000,top
"C23","10uF","CP_Radial_D5.0mm_P2.50mm",55.761000,53.079000,180.000000,top
"C24","100nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",36.061000,39.479000,0.000000,top
"C25","100nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",63.061000,32.429000,180.000000,top
"C26","100nF","C_Disc_D4.3mm_W1.9mm_P5.00mm",58.211000,19.029000,0.000000,top
"D1","LED_RAGB","LED_D5.0mm-4_RGB",41.711000,13.279000,-90.000000,top
"D2","1N4004","D_DO-41_SOD81_P10.16mm_Horizontal",83.925000,51.300000,90.000000,top
"D3","1N4004","D_DO-41_SOD81_P10.16mm_Horizontal",87.150000,61.479000,-90.000000,top
"D4","P6KE82","D_DO-15_P10.16mm_Horizontal",97.275000,61.479000,-90.000000,top
"D5","1N4004","D_DO-41_SOD81_P10.16mm_Horizontal",90.400000,51.325000,90.000000,top
"D6","1N4004","D_DO-41_SOD81_P10.16mm_Horizontal",93.625000,61.479000,-90.000000,top
"D7","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",37.411000,58.729000,0.000000,top
"D8","1N4004","D_DO-41_SOD81_P10.16mm_Horizontal",64.361000,81.779000,0.000000,top
"D9","1N5817","DO-41",37.661000,80.279000,0.000000,top
"J1","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",44.301000,3.679000,-90.000000,top
"J2","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",1.511000,34.629000,0.000000,top
"J4","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",1.511000,75.379000,0.000000,top
"J5","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",1.511000,45.279000,0.000000,top
"J6","RJ","RJ_6p6c",87.861000,83.529000,180.000000,top
"J7","RJ","RJ_6p6c",72.311000,83.529000,180.000000,top
"J8","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",60.461000,68.239000,180.000000,top
"J10","PJ-202A","Barrel_Jack_5.5mmODx2.1mmID_PJ-202A",42.211000,88.579000,0.000000,top
"J11","Screw_Terminal_01x02","TerminalBlock_bornier-2_P5.08mm",55.611000,92.229000,180.000000,top
"K1","HK19F-DC5V-SHG","Relay_DPDT_Omron_G5V-2",65.311000,78.229000,0.000000,top
"Q1","2N7000","TO-92_Inline",82.650000,24.825000,0.000000,top
"Q2","2N3904","TO-92_Inline_Wide",77.100000,52.000000,90.000000,top
"R1","300r","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",27.175000,7.675000,0.000000,top
"R2","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",25.061000,80.729000,180.000000,top
"R3","300r","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",27.275000,14.425000,0.000000,top
"R4","300r","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",27.211000,11.079000,0.000000,top
"R5","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",23.211000,14.129000,180.000000,top
